title,release_year,emotion_vector
Inception,2010.0,"[2.82, 3.52, 7.01, 2.82, 2.82, 2.82, 8.35, 3.41, 8.82, 4.9, 6.29, 5.1]"
Interstellar,2014.0,"[2.91, 6.33, 4.37, 3.55, 2.65, 2.65, 6.85, 4.04, 8.95, 5.04, 8.22, 3.0]"
The Dark Knight,2008.0,"[2.55, 5.32, 8.08, 3.25, 2.27, 2.91, 7.64, 4.17, 4.55, 3.99, 8.87, 5.13]"
Avatar,2009.0,"[3.52, 4.64, 7.84, 3.52, 2.37, 2.84, 7.6, 3.37, 9.09, 3.79, 5.12, 4.62]"
The Avengers,2012.0,"[2.84, 3.49, 6.77, 2.84, 3.58, 2.84, 8.11, 3.07, 9.07, 4.77, 6.08, 4.96]"
Deadpool,2016.0,"[5.53, 2.16, 7.95, 2.16, 3.09, 4.06, 7.54, 2.41, 7.57, 5.79, 3.64, 7.88]"
Avengers: Infinity War,2018.0,"[3.08, 3.41, 7.76, 2.74, 2.74, 2.74, 8.21, 2.94, 8.51, 4.75, 6.12, 5.98]"
Fight Club,1999.0,"[3.27, 6.47, 6.5, 6.66, 1.85, 1.85, 4.71, 5.35, 3.7, 5.88, 9.09, 4.06]"
Guardians of the Galaxy,2014.0,"[2.83, 3.53, 6.67, 2.83, 2.83, 3.18, 8.58, 3.07, 8.65, 4.92, 6.82, 4.71]"
Pulp Fiction,1994.0,"[2.76, 5.07, 6.97, 3.12, 2.76, 2.76, 7.91, 5.12, 5.84, 3.97, 9.08, 3.17]"
Forrest Gump,1994.0,"[5.78, 7.27, 2.57, 9.12, 2.33, 3.96, 3.39, 5.35, 3.04, 4.43, 7.58, 3.76]"
Harry Potter and the Philosopher's Stone,2001.0,"[2.59, 7.0, 7.09, 2.16, 2.16, 3.05, 7.91, 4.22, 8.61, 4.98, 5.61, 4.11]"
Iron Man,2008.0,"[2.82, 3.51, 7.01, 2.82, 2.82, 2.82, 8.35, 3.42, 8.82, 4.89, 6.29, 5.1]"
Django Unchained,2012.0,"[2.36, 5.49, 4.63, 4.04, 4.28, 2.36, 3.46, 7.52, 7.25, 5.31, 9.12, 2.82]"
